epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,3458.37,0.57156,0.40243,1.10043,0.94212,0.87831,0.94027,0.81092,0.6512,0.43335,1.24702,0.002377,0.002377,0.002377
76,221.388,0.5536,0.38727,1.08901,0.93333,0.88443,0.94214,0.8085,0.59858,0.47276,1.13578,0.002575,0.002575,0.002575
77,431.106,0.55602,0.39548,1.08908,0.93161,0.88381,0.93948,0.80932,0.59858,0.50864,1.13856,0.002476,0.002476,0.002476
78,637.07,0.55287,0.38939,1.0905,0.94056,0.88195,0.94016,0.81268,0.59939,0.49304,1.13943,0.002377,0.002377,0.002377
79,847.357,0.54582,0.37654,1.08136,0.92747,0.88739,0.94,0.81117,0.59774,0.50177,1.13843,0.002278,0.002278,0.002278
80,1053.21,0.53998,0.37816,1.08088,0.92483,0.88368,0.93892,0.80837,0.59921,0.49506,1.13943,0.002179,0.002179,0.002179
81,1254,0.54151,0.3769,1.07905,0.92122,0.88656,0.93841,0.80936,0.59899,0.51261,1.14307,0.00208,0.00208,0.00208
82,1457.62,0.53359,0.36607,1.07752,0.9221,0.88474,0.9376,0.80743,0.60245,0.51273,1.1512,0.001981,0.001981,0.001981
83,1662.02,0.52922,0.36914,1.07381,0.92458,0.87828,0.93769,0.80777,0.60202,0.54298,1.15172,0.001882,0.001882,0.001882
84,1863.25,0.53156,0.36706,1.07377,0.92114,0.8911,0.93686,0.80694,0.60158,0.56895,1.15102,0.001783,0.001783,0.001783
85,2068.46,0.52079,0.36031,1.06845,0.92662,0.88026,0.93729,0.80637,0.60109,0.58899,1.15127,0.001684,0.001684,0.001684
86,2273.77,0.52003,0.35765,1.06699,0.92275,0.88767,0.93508,0.80587,0.60327,0.59098,1.15543,0.001585,0.001585,0.001585
87,2481.65,0.5197,0.35313,1.0677,0.93074,0.88289,0.93514,0.8071,0.60639,0.572,1.1606,0.001486,0.001486,0.001486
88,2682.77,0.52727,0.36473,1.07319,0.93641,0.87232,0.93485,0.80665,0.60668,0.5461,1.16095,0.001387,0.001387,0.001387
89,2883.67,0.53453,0.37034,1.07931,0.94686,0.86054,0.93472,0.80606,0.60741,0.53053,1.15957,0.001288,0.001288,0.001288
90,3087.97,0.54774,0.37739,1.08686,0.92666,0.88022,0.93553,0.80544,0.60562,0.52393,1.15472,0.001189,0.001189,0.001189
91,3286.28,0.47166,0.29455,1.05958,0.9344,0.8801,0.93512,0.8052,0.60347,0.50438,1.15091,0.00109,0.00109,0.00109
92,3485.98,0.45821,0.28417,1.04708,0.9268,0.88583,0.93546,0.80547,0.60125,0.50541,1.14688,0.000991,0.000991,0.000991
93,3684.07,0.45235,0.27937,1.0449,0.92616,0.88764,0.93502,0.80696,0.60059,0.4958,1.14631,0.000892,0.000892,0.000892
94,3877.86,0.44933,0.27315,1.03696,0.92737,0.88705,0.93468,0.80612,0.60171,0.48987,1.14814,0.000793,0.000793,0.000793
95,4076.17,0.44056,0.27062,1.03151,0.9267,0.88509,0.93491,0.80685,0.59997,0.48966,1.14763,0.000694,0.000694,0.000694
96,4274.94,0.43736,0.26627,1.03213,0.92738,0.88569,0.9344,0.8077,0.59943,0.49012,1.148,0.000595,0.000595,0.000595
79,220.106,0.48748,0.33667,1.0508,0.93831,0.88202,0.93874,0.81082,0.60082,0.48147,1.14392,0.002278,0.002278,0.002278
80,424.937,0.50811,0.35407,1.0599,0.93267,0.88196,0.93586,0.80961,0.60334,0.50494,1.15273,0.002179,0.002179,0.002179
81,628.82,0.52693,0.36875,1.07447,0.93223,0.8861,0.93817,0.8107,0.60152,0.51766,1.15004,0.00208,0.00208,0.00208
82,834.68,0.54204,0.37346,1.07888,0.94568,0.87378,0.93813,0.81054,0.59835,0.52529,1.14766,0.001981,0.001981,0.001981
83,1036.83,0.53698,0.37481,1.07791,0.92661,0.88732,0.93778,0.80974,0.60012,0.51689,1.14862,0.001882,0.001882,0.001882
84,1240.16,0.53714,0.37278,1.0759,0.93977,0.87782,0.9386,0.81073,0.59774,0.54317,1.14829,0.001783,0.001783,0.001783
85,1441.56,0.52877,0.36193,1.07426,0.94215,0.8808,0.93904,0.81028,0.59771,0.53446,1.14991,0.001684,0.001684,0.001684
86,1641.06,0.52294,0.36264,1.07028,0.93932,0.88135,0.93873,0.80941,0.59934,0.52724,1.15155,0.001585,0.001585,0.001585
87,1844.45,0.52758,0.36144,1.07133,0.93372,0.88073,0.93786,0.80732,0.60029,0.52673,1.1525,0.001486,0.001486,0.001486
88,2046.38,0.51521,0.35425,1.06541,0.93964,0.87992,0.93762,0.8082,0.59869,0.52862,1.15085,0.001387,0.001387,0.001387
89,2245.02,0.51587,0.35367,1.06497,0.94393,0.87267,0.93758,0.80772,0.59834,0.52609,1.15044,0.001288,0.001288,0.001288
90,2445.51,0.51257,0.34871,1.06415,0.94073,0.8719,0.93758,0.80807,0.59807,0.52383,1.15051,0.001189,0.001189,0.001189
91,2640.46,0.47013,0.29982,1.06116,0.93653,0.87614,0.93493,0.80649,0.59707,0.52348,1.1477,0.00109,0.00109,0.00109
92,2838.49,0.4624,0.28693,1.05504,0.93572,0.87686,0.93621,0.80789,0.59444,0.52431,1.14345,0.000991,0.000991,0.000991
93,3034.07,0.45524,0.28195,1.04533,0.92507,0.88206,0.93727,0.8094,0.59358,0.52397,1.14082,0.000892,0.000892,0.000892
94,3232.17,0.44696,0.27489,1.04074,0.94604,0.87198,0.93698,0.80974,0.59369,0.5208,1.14068,0.000793,0.000793,0.000793
95,3426.72,0.44327,0.27242,1.03567,0.94293,0.8741,0.93779,0.8104,0.59276,0.5158,1.14006,0.000694,0.000694,0.000694
96,3619.74,0.43732,0.26718,1.0279,0.94632,0.87445,0.93799,0.81013,0.59035,0.50094,1.13746,0.000595,0.000595,0.000595
97,3813.78,0.43535,0.26373,1.03227,0.94402,0.87547,0.93792,0.80943,0.58965,0.48862,1.13692,0.000496,0.000496,0.000496
79,214.803,0.48748,0.33667,1.0508,0.93831,0.88202,0.93874,0.81082,0.60082,0.48147,1.14392,0.002278,0.002278,0.002278
80,422.153,0.50811,0.35407,1.0599,0.93267,0.88196,0.93586,0.80961,0.60334,0.50494,1.15273,0.002179,0.002179,0.002179
81,629.099,0.52693,0.36875,1.07447,0.93223,0.8861,0.93817,0.8107,0.60152,0.51766,1.15004,0.00208,0.00208,0.00208
82,835.239,0.54204,0.37346,1.07888,0.94568,0.87378,0.93813,0.81054,0.59835,0.52529,1.14766,0.001981,0.001981,0.001981
83,1045.1,0.53698,0.37481,1.07791,0.92661,0.88732,0.93778,0.80974,0.60012,0.51689,1.14862,0.001882,0.001882,0.001882
84,1252.99,0.53714,0.37278,1.0759,0.93977,0.87782,0.9386,0.81073,0.59774,0.54317,1.14829,0.001783,0.001783,0.001783
85,1462.26,0.52877,0.36193,1.07426,0.94215,0.8808,0.93904,0.81028,0.59771,0.53446,1.14991,0.001684,0.001684,0.001684
